source_id,url,price_man_yen,layout,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,image_count
78837021,https://suumo.jp/ms/chuko/tokyo/sc_suginami/nc_78837021/,6280.0,2LDK,55.39,2002,1.0,5.0,東京都杉並区久我山３ [ ■ 周辺環境 ],久我山駅,1.0,23
78931552,https://suumo.jp/ms/chuko/tokyo/sc_sumida/nc_78931552/,6280.0,1LDK,40.08,2010,3.0,11.0,東京都墨田区業平３-13-4 [ ■ 周辺環境 ],押上駅,2.0,21
20056955,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20056955/,6480.0,3LDK,91.11,1996,1.0,1.0,東京都足立区梅田７ [ ■ 周辺環境 ],梅島駅,5.0,24
20026049,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_20026049/,6480.0,1LDK,55.03,1981,10.0,1.0,東京都文京区音羽１ [ ■ 周辺環境 ],護国寺駅,4.0,33
78953500,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_78953500/,6480.0,1LDK,55.03,1981,10.0,11.0,東京都文京区音羽１ [ ■ 周辺環境 ],護国寺駅,4.0,22
20032128,https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_20032128/,6480.0,1LDK,48.45,1978,2.0,8.0,東京都中央区明石町 [ ■ 周辺環境 ],有楽町駅,7.0,30
20157550,https://suumo.jp/ms/chuko/tokyo/sc_edogawa/nc_20157550/,6390.0,2LDK,57.03,2005,11.0,14.0,東京都江戸川区西小岩１ [ ■ 周辺環境 ],小岩駅,3.0,25
20226605,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20226605/,6380.0,3LDK,75.91,1992,10.0,12.0,東京都板橋区蓮沼町５０-２ [ ■ 周辺環境 ],本蓮沼駅,5.0,27
79170359,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_79170359/,6380.0,3LDK,78.04,2001,3.0,1.0,東京都板橋区上板橋２ [ ■ 周辺環境 ],上板橋駅,9.0,14
20149088,https://suumo.jp/ms/chuko/tokyo/sc_kita/nc_20149088/,6380.0,3LDK,67.74,1995,6.0,7.0,東京都北区豊島８-8-16 [ ■ 周辺環境 ],王子神谷駅,5.0,22
20231538,https://suumo.jp/ms/chuko/tokyo/sc_kita/nc_20231538/,6480.0,1LDK,52.25,1992,2.0,1.0,東京都北区田端１ [ ■ 周辺環境 ],田端駅,6.0,27
20122461,https://suumo.jp/ms/chuko/tokyo/sc_koto/nc_20122461/,6480.0,3LDK,83.16,1983,2.0,9.0,東京都江東区南砂７ [ ■ 周辺環境 ],南砂町駅,5.0,22
20349875,https://suumo.jp/ms/chuko/tokyo/sc_minato/nc_20349875/,6480.0,1LDK,48.13,1969,4.0,7.0,東京都港区赤坂６-19-11 [ ■ 周辺環境 ],赤坂駅,7.0,32
20188104,https://suumo.jp/ms/chuko/tokyo/sc_nakano/nc_20188104/,6480.0,1DK,30.73,2018,6.0,14.0,東京都中野区東中野２ [ ■ 周辺環境 ],東中野駅,2.0,22
20215568,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_20215568/,6480.0,1LDK,56.89,2024,2.0,5.0,東京都練馬区北町７ [ ■ 周辺環境 ],平和台駅,9.0,23
78890341,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_78890341/,6390.0,3LDK,67.16,2000,2.0,6.0,東京都練馬区羽沢３ [ ■ 周辺環境 ],氷川台駅,6.0,22
20134202,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20134202/,6300.0,1LDK,51.84,2024,6.0,6.0,東京都大田区仲六郷２ [ ■ 周辺環境 ],雑色駅,5.0,24
20314311,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20314311/,6470.0,3LDK,60.5,1984,6.0,2.0,東京都大田区石川町２ [ ■ 周辺環境 ],石川台駅,3.0,29
79044110,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_79044110/,6480.0,2LDK,70.24,2009,9.0,15.0,東京都大田区大森南１ [ ■ 周辺環境 ],梅屋敷駅,16.0,21
20050817,https://suumo.jp/ms/chuko/tokyo/sc_shibuya/nc_20050817/,6480.0,1LDK,52.72,1981,2.0,6.0,東京都渋谷区元代々木町 [ ■ 周辺環境 ],代々木八幡駅,8.0,23
20092042,https://suumo.jp/ms/chuko/tokyo/sc_shibuya/nc_20092042/,6380.0,1LDK,38.5,2003,4.0,6.0,東京都渋谷区恵比寿南２ [ ■ 周辺環境 ],恵比寿駅,5.0,23
20325219,https://suumo.jp/ms/chuko/tokyo/sc_shibuya/nc_20325219/,6299.0,2LDK,61.81,1971,7.0,8.0,東京都渋谷区代々木１-44-9 [ ■ 周辺環境 ],代々木駅,4.0,29
79053563,https://suumo.jp/ms/chuko/tokyo/sc_shibuya/nc_79053563/,6398.0,1LDK,46.59,2004,3.0,1.0,東京都渋谷区本町１ [ ■ 周辺環境 ],幡ヶ谷駅,5.0,24
20193200,https://suumo.jp/ms/chuko/tokyo/sc_shinjuku/nc_20193200/,6480.0,2LDK,53.69,1986,2.0,5.0,東京都新宿区高田馬場２ [ ■ 周辺環境 ],高田馬場駅,8.0,32
78941491,https://suumo.jp/ms/chuko/tokyo/sc_shinjuku/nc_78941491/,6380.0,1LDK,42.05,1991,2.0,1.0,東京都新宿区南元町3-7 [ ■ 周辺環境 ],信濃町駅,6.0,27
20267373,https://suumo.jp/ms/chuko/tokyo/sc_suginami/nc_20267373/,6480.0,2LDK,56.75,1985,4.0,4.0,東京都杉並区宮前３ [ ■ 周辺環境 ],西荻窪駅,14.0,22
20042162,https://suumo.jp/ms/chuko/tokyo/sc_sumida/nc_20042162/,6380.0,2LDK,48.91,2024,7.0,9.0,東京都墨田区墨田３-21-13 [ ■ 周辺環境 ],鐘ヶ淵駅,5.0,34
20065031,https://suumo.jp/ms/chuko/tokyo/sc_sumida/nc_20065031/,6480.0,1LDK,40.08,2010,3.0,11.0,東京都墨田区業平３ [ ■ 周辺環境 ],押上駅,2.0,32
20137659,https://suumo.jp/ms/chuko/tokyo/sc_sumida/nc_20137659/,6480.0,3LDK,68.97,2014,5.0,7.0,東京都墨田区立花５ [ ■ 周辺環境 ],小村井駅,8.0,21
20170989,https://suumo.jp/ms/chuko/tokyo/sc_sumida/nc_20170989/,6480.0,2LDK,56.59,2002,6.0,9.0,東京都墨田区太平４ [ ■ 周辺環境 ],錦糸町駅,6.0,23
20319403,https://suumo.jp/ms/chuko/tokyo/sc_sumida/nc_20319403/,6300.0,2LDK,41.55,2018,3.0,11.0,東京都墨田区向島２ [ ■ 周辺環境 ],押上駅,7.0,28
20038968,https://suumo.jp/ms/chuko/tokyo/sc_edogawa/nc_20038968/,6480.0,4LDK,98.94,1994,3.0,1.0,東京都江戸川区北葛西４ [ ■ 周辺環境 ],西葛西駅,13.0,26
